province,year,manslaughter,theft,scam
Jaen,2017,3,897,468
Leon,2017,2,726,389
Lleida,2017,0,895,568
La Rioja,2017,0,600,126
Lugo,2017,0,439,233
Madrid,2017,34,23153,5154
Malaga,2017,10,4787,1958
Murcia,2017,13,3075,965
Navarra,2017,7,948,547
Ourense,2017,1,444,162
Asturias,2017,4,1911,762
Palencia,2017,0,257,187
Las Palmas,2017,11,3168,1331
Pontevedra,2017,4,1669,713
Salamanca,2017,3,803,221
Santa Cruz de Tenerife,2017,10,2648,644
Cantabria,2017,2,1224,443
Segovia,2017,1,174,143
Sevilla,2017,15,4214,1521
Soria,2017,0,88,81
Teruel,2017,0,98,82
Valencia,2017,4,7113,2484
Bizkaia,2017,5,6,91
Zaragoza,2017,1,2108,838
Melilla,2017,1,321,54
Alava,2018,0,3,26
Albacete,2018,3,849,352
Alicante,2018,15,4742,2359
Almeria,2018,9,1303,596
Avila,2018,1,133,143
Badajoz,2018,3,1118,473
Islas Baleares,2018,7,3292,1104
Barcelona,2018,0,18037,6146
Burgos,2018,3,597,416
Caceres,2018,1,394,211
Cadiz,2018,5,2656,1328
Castellon,2018,6,1302,666
Ciudad Real,2018,1,819,422
Cordoba,2018,4,1367,780
A Coruña,2018,3,2276,870
Cuenca,2018,1,155,161
Girona,2018,0,1666,1087
Granada,2018,15,2054,816
Guadalajara,2018,1,326,258
Gipuzkoa,2018,0,3,57
Huelva,2018,2,1349,435
Huesca,2018,2,185,142
Jaen,2018,4,825,556
Leon,2018,1,852,448
Lleida,2018,0,931,641
La Rioja,2018,0,608,192
Lugo,2018,1,383,248
Madrid,2018,34,23169,6764
Malaga,2018,19,4650,2459
Murcia,2018,10,2878,1341
Navarra,2018,11,974,575
Ourense,2018,2,345,206
Asturias,2018,8,2030,840
Palencia,2018,0,239,169
Las Palmas,2018,11,3065,1581
Pontevedra,2018,1,1696,727
Salamanca,2018,0,814,319
Santa Cruz de Tenerife,2018,12,2421,702
Cantabria,2018,1,1191,425
Segovia,2018,0,166,152
Sevilla,2018,9,4054,1750
Soria,2018,0,71,83
Teruel,2018,0,96,89
Valencia,2018,3,7298,2908
Bizkaia,2018,5,5,102
Zaragoza,2018,1,2223,885
Melilla,2018,1,350,153
Alava,2019,0,12,38
Albacete,2019,0,873,360
Alicante,2019,15,4516,2657
Almeria,2019,7,1296,695
Avila,2019,0,150,123
Badajoz,2019,2,1178,542
Islas Baleares,2019,6,3155,1746
Barcelona,2019,1,18655,5862
Burgos,2019,4,688,412
Caceres,2019,3,360,234
Cadiz,2019,10,2689,1297
Castellon,2019,2,1254,650
Ciudad Real,2019,4,714,401
Cordoba,2019,7,1136,853
A Coruña,2019,5,2330,1022
Cuenca,2019,5,163,205
Girona,2019,0,1422,974
Granada,2019,15,2041,876
Guadalajara,2019,0,321,272
Gipuzkoa,2019,0,21,48
Huelva,2019,6,1109,502
Huesca,2019,0,199,166
Jaen,2019,3,767,619
Leon,2019,1,954,473
Lleida,2019,0,925,651
La Rioja,2019,1,642,179
Lugo,2019,3,460,231
Madrid,2019,24,23999,7349
Malaga,2019,19,4819,2701
Murcia,2019,13,2841,1427
Navarra,2019,6,1047,625
Ourense,2019,0,399,203
Asturias,2019,7,2088,931
Palencia,2019,0,205,191
Las Palmas,2019,10,3059,2029
Pontevedra,2019,7,1738,836
Salamanca,2019,0,995,325
Santa Cruz de Tenerife,2019,12,2440,867
Cantabria,2019,6,1239,536
Segovia,2019,1,207,194
Sevilla,2019,8,4303,1879
